W	Iteraciones
Jacobi	9
0.1	66
0.11	61
0.12	57
0.13	54
0.14	50
0.15	48
0.16	45
0.17	43
0.18	41
0.19	39
0.2	38
0.21	36
0.22	35
0.23	33
0.24	32
0.25	31
0.26	30
0.27	29
0.28	28
0.29	27
0.3	26
0.31	26
0.32	25
0.33	24
0.34	24
0.35	23
0.36	22
0.37	22
0.38	21
0.39	21
0.4	20
0.41	20
0.42	19
0.43	19
0.44	18
0.45	18
0.46	18
0.47	17
0.48	17
0.49	16
0.5	16
0.51	16
0.52	15
0.53	15
0.54	15
0.55	15
0.56	14
0.57	14
0.58	14
0.59	13
0.6	13
0.61	13
0.62	13
0.63	13
0.64	12
0.65	12
0.66	12
0.67	12
0.68	11
0.69	11
0.7	11
0.71	11
0.72	11
0.73	11
0.74	10
0.75	10
0.76	10
0.77	10
0.78	10
0.79	10
0.8	9
0.81	9
0.82	9
0.83	9
0.839999	9
0.849999	9
0.859999	9
0.869999	8
0.879999	8
0.889999	8
0.899999	8
0.909999	8
0.919999	8
0.929999	8
0.939999	8
0.949999	7
0.959999	7
0.969999	7
0.979999	7
0.989999	7
0.999999	7
1.01	7
1.02	7
1.03	7
1.04	7
1.05	7
1.06	7
1.07	7
1.08	7
1.09	7
1.1	7
1.11	7
1.12	7
1.13	7
1.14	7
1.15	7
1.16	7
1.17	7
1.18	7
1.19	7
1.2	7
1.21	8
1.22	8
1.23	8
1.24	8
1.25	8
1.26	8
1.27	8
1.28	9
1.29	9
1.3	9
1.31	9
1.32	9
1.33	9
1.34	10
1.35	10
1.36	10
1.37	10
1.38	11
1.39	11
1.4	11
1.41	11
1.42	11
1.43	12
1.44	12
1.45	12
1.46	12
1.47	13
1.48	13
1.49	13
1.5	14
1.51	14
1.52	14
1.53	15
1.54	15
1.55	16
1.56	16
1.57	17
1.58	17
1.59	17
1.6	18
1.61	19
1.62	19
1.63	20
1.64	21
1.65	21
1.66	22
1.67	23
1.68	24
1.69	24
1.7	26
1.71	26
1.72	27
1.73	29
1.74	30
1.75	32
1.76	33
1.77	35
1.78	37
1.79	39
1.8	40
1.81	43
1.82	45
1.83	48
1.84	52
1.85	55
1.86	58
1.87	64
1.88	69
1.89	76
1.9	86
